unix,date,symbol,open,high,low,close,Volume ETH,Volume BTC
1617235200,2021-04-01 00:00:00,ETH/BTC,0.03265936,0.03368096,0.03243630,0.03353799,7486.87281112,251.09466547061442
1617148800,2021-03-31 00:00:00,ETH/BTC,0.03138610,0.03302001,0.03093216,0.03257779,4700.96103065,153.14692125469927
1617062400,2021-03-30 00:00:00,ETH/BTC,0.03156161,0.03170331,0.03100000,0.03135291,3610.60190540,113.2028765858347
1616976000,2021-03-29 00:00:00,ETH/BTC,0.03019481,0.03171184,0.03019200,0.03150695,4892.71758652,154.1546083626063
1616889600,2021-03-28 00:00:00,ETH/BTC,0.03068001,0.03068001,0.03019245,0.03022152,1713.24070149,51.77673812489407
1616803200,2021-03-27 00:00:00,ETH/BTC,0.03088608,0.03104116,0.03039294,0.03067970,1261.90519749,38.714872887433955
1616716800,2021-03-26 00:00:00,ETH/BTC,0.03096250,0.03124038,0.03030780,0.03087540,2223.53762326,68.65261353320182
1616630400,2021-03-25 00:00:00,ETH/BTC,0.03024652,0.03130597,0.02992942,0.03087707,2870.30715900,88.62667506994413
1616544000,2021-03-24 00:00:00,ETH/BTC,0.03070060,0.03104787,0.02954155,0.03022760,3382.83285026,102.25491826451919
1616457600,2021-03-23 00:00:00,ETH/BTC,0.03107900,0.03137377,0.03050530,0.03067377,2080.06853848,63.80354393357167
1616371200,2021-03-22 00:00:00,ETH/BTC,0.03111198,0.03141658,0.03057185,0.03100770,2899.68840849,89.91266826393536
1616284800,2021-03-21 00:00:00,ETH/BTC,0.03103624,0.03160876,0.03080349,0.03109907,3582.07581745,111.39922659218477
1616198400,2021-03-20 00:00:00,ETH/BTC,0.03119252,0.03147999,0.03095108,0.03107927,1572.01371334,48.857038640596464
1616112000,2021-03-19 00:00:00,ETH/BTC,0.03080211,0.03121266,0.03069566,0.03115000,2027.49859150,63.156581125225
1616025600,2021-03-18 00:00:00,ETH/BTC,0.03092270,0.03132000,0.03048345,0.03081963,3196.63636276,98.51914994480897
